bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
13,17520.0,0.1187,11.3816,2079.624,199486.1094,FTX,2020-11-17 22:05:20
14,17519.5,0.5633,11.9449,9868.73435,209354.84375,FTX,2020-11-17 22:05:20
15,17519.0,130.6601,304.2985,2289034.2919,5332471.8249,FTXUS,2020-11-17 22:05:20
16,17517.5,1.7785,13.7234,31154.87375,240509.7175,FTX,2020-11-17 22:05:20
17,17517.0,0.267,13.9904,4677.039,245186.7565,FTX,2020-11-17 22:05:20
18,17517.0,133.703,438.0015,2342075.451,7674547.2759,FTXUS,2020-11-17 22:05:20
19,17516.5,0.3262,14.3166,5713.8823,250900.6388,FTX,2020-11-17 22:05:20
0,17532.5,0.006,0.006,105.195,105.195,FTX,2020-11-17 22:05:21
1,17531.5,16.4348,16.4348,288126.6962,288126.6962,FTXUS,2020-11-17 22:05:21
2,17530.5,0.1193,0.1253,2091.38865,2196.58365,FTX,2020-11-17 22:05:21
3,17530.0,0.1309,0.2562,2294.677,4491.26065,FTX,2020-11-17 22:05:21
4,17528.0,0.0285,0.2847,499.548,4990.80865,FTX,2020-11-17 22:05:21
5,17527.5,81.9414,98.3762,1436227.8885,1724354.5847,FTXUS,2020-11-17 22:05:21
6,17527.5,10.2806,10.5653,180193.2165,185184.02515,FTX,2020-11-17 22:05:21
7,17526.5,75.2622,173.6384,1319082.9483,3043437.533,FTXUS,2020-11-17 22:05:21
8,17526.0,0.0002,10.5655,3.5052,185187.53035,FTX,2020-11-17 22:05:21
9,17525.5,0.0925,10.658,1621.10875,186808.6391,FTX,2020-11-17 22:05:21
10,17525.0,0.9637,11.6217,16888.8425,203697.4816,FTX,2020-11-17 22:05:21
11,17524.0,0.1427,11.7644,2500.6748,206198.1564,FTX,2020-11-17 22:05:21
12,17522.0,0.1186,11.883,2078.1092,208276.2656,FTX,2020-11-17 22:05:21
13,17521.0,0.5759,12.4589,10090.3439,218366.6095,FTX,2020-11-17 22:05:21
14,17520.5,0.1185,12.5774,2076.17925,220442.78875,FTX,2020-11-17 22:05:21
15,17520.0,0.4447,13.0221,7791.144,228233.93275,FTX,2020-11-17 22:05:21
16,17519.0,130.6601,304.2985,2289034.2919,5332471.8249,FTXUS,2020-11-17 22:05:21
17,17518.0,0.0073,13.0294,127.8814,228361.81415,FTX,2020-11-17 22:05:21
18,17517.5,1.7785,14.8079,31154.87375,259516.6879,FTX,2020-11-17 22:05:21
19,17517.0,133.703,438.0015,2342075.451,7674547.2759,FTXUS,2020-11-17 22:05:21
0,17531.5,16.4348,16.4348,288126.6962,288126.6962,FTXUS,2020-11-17 22:05:25
1,17530.0,0.2604,0.2604,4564.812,4564.812,FTX,2020-11-17 22:05:25
2,17527.5,10.2806,10.541,180193.2165,184758.0285,FTX,2020-11-17 22:05:25
3,17527.5,81.9414,98.3762,1436227.8885,1724354.5847,FTXUS,2020-11-17 22:05:25
4,17526.5,0.0285,10.5695,499.50525,185257.53375,FTX,2020-11-17 22:05:25
5,17526.5,75.2622,173.6384,1319082.9483,3043437.533,FTXUS,2020-11-17 22:05:25
6,17526.0,0.0002,10.5697,3.5052,185261.03895,FTX,2020-11-17 22:05:25
7,17525.0,0.9637,11.5334,16888.8425,202149.88145,FTX,2020-11-17 22:05:25
8,17524.0,0.1427,11.6761,2500.6748,204650.55625,FTX,2020-11-17 22:05:25
9,17522.5,0.0296,11.7057,518.666,205169.22225,FTX,2020-11-17 22:05:25
10,17522.0,0.0593,11.765,1039.0546,206208.27685,FTX,2020-11-17 22:05:25
11,17521.5,0.1073,11.8723,1880.05695,208088.3338,FTX,2020-11-17 22:05:25
12,17521.0,1.0502,12.9225,18400.5542,226488.888,FTX,2020-11-17 22:05:25
13,17520.5,0.1186,13.0411,2077.9313,228566.8193,FTX,2020-11-17 22:05:25
14,17518.5,0.3558,13.3969,6233.0823,234799.9016,FTX,2020-11-17 22:05:25
15,17517.5,0.8,14.1969,14014.0,248813.9016,FTX,2020-11-17 22:05:25
16,17517.0,0.0099,14.2068,173.4183,248987.3199,FTX,2020-11-17 22:05:25
17,17517.0,133.703,307.3414,2342075.451,5385512.984,FTXUS,2020-11-17 22:05:25
18,17516.5,1.2156,15.4224,21293.0574,270280.3773,FTX,2020-11-17 22:05:25
19,17516.5,83.9941,391.3355,1471282.65265,6856795.63665,FTXUS,2020-11-17 22:05:25
0,17530.0,0.1309,0.1309,2294.677,2294.677,FTX,2020-11-17 22:05:31
1,17527.5,81.9414,81.9414,1436227.8885,1436227.8885,FTXUS,2020-11-17 22:05:31
2,17527.5,10.2806,10.4115,180193.2165,182487.8935,FTX,2020-11-17 22:05:31
3,17526.5,75.2622,157.2036,1319082.9483,2755310.8368,FTXUS,2020-11-17 22:05:31
4,17526.0,0.0002,10.4117,3.5052,182491.3987,FTX,2020-11-17 22:05:31
5,17525.5,0.1454,10.5571,2548.2077,185039.6064,FTX,2020-11-17 22:05:31
6,17525.0,0.1482,10.7053,2597.205,187636.8114,FTX,2020-11-17 22:05:31
7,17524.0,0.0002,10.7055,3.5048,187640.3162,FTX,2020-11-17 22:05:31
8,17522.5,0.0593,10.7648,1039.08425,188679.40045,FTX,2020-11-17 22:05:31
9,17522.0,0.4275,11.1923,7490.655,196170.05545,FTX,2020-11-17 22:05:31
10,17521.5,0.1593,11.3516,2791.17495,198961.2304,FTX,2020-11-17 22:05:31
11,17521.0,0.1187,11.4703,2079.7427,201040.9731,FTX,2020-11-17 22:05:31
12,17520.5,0.1482,11.6185,2596.5381,203637.5112,FTX,2020-11-17 22:05:31
13,17519.5,0.0073,11.6258,127.89235,203765.40355,FTX,2020-11-17 22:05:31
14,17518.5,0.0889,11.7147,1557.39465,205322.7982,FTX,2020-11-17 22:05:31
15,17517.5,1.5115,13.2262,26477.70125,231800.49945,FTX,2020-11-17 22:05:31
16,17517.0,133.703,290.9066,2342075.451,5097386.2878,FTXUS,2020-11-17 22:05:31
17,17517.0,0.0002,13.2264,3.5034,231804.00285,FTX,2020-11-17 22:05:31
18,17516.5,83.9941,374.9007,1471282.65265,6568668.94045,FTXUS,2020-11-17 22:05:31
19,17516.5,0.8895,14.1159,15580.92675,247384.9296,FTX,2020-11-17 22:05:31
0,17530.0,0.042,0.042,736.26,736.26,FTX,2020-11-17 22:05:35
1,17527.5,81.9414,81.9414,1436227.8885,1436227.8885,FTXUS,2020-11-17 22:05:35
2,17526.5,74.2078,156.1492,1300603.0067,2736830.8952,FTXUS,2020-11-17 22:05:35
3,17526.0,0.0002,0.0422,3.5052,739.7652,FTX,2020-11-17 22:05:35
4,17525.5,0.1169,0.1591,2048.73095,2788.49615,FTX,2020-11-17 22:05:35
