ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
12,17568.0,12.5431,12.5431,220357.1808,220357.1808,FTXUS,2020-11-17 22:04:30
13,17570.5,0.9537,13.4968,16756.98585,237114.16665,FTXUS,2020-11-17 22:04:30
14,17572.0,10.1715,13.5756,178733.598,238519.84305,FTX,2020-11-17 22:04:30
15,17572.5,0.125,13.7006,2196.5625,240716.40555,FTX,2020-11-17 22:04:30
16,17574.0,0.773,14.4736,13584.702,254301.10755,FTX,2020-11-17 22:04:30
17,17577.0,61.0037,74.5005,1072262.0349,1309376.20155,FTXUS,2020-11-17 22:04:30
18,17580.0,73.0925,147.593,1284966.15,2594342.35155,FTXUS,2020-11-17 22:04:30
19,17581.5,0.897,15.3706,15770.6055,270071.71305,FTX,2020-11-17 22:04:30
0,17554.0,21.6285,21.6285,379666.689,379666.689,FTX,2020-11-17 22:04:31
1,17554.5,0.1424,21.7709,2499.7608,382166.4498,FTX,2020-11-17 22:04:31
2,17555.0,0.1186,21.8895,2082.023,384248.4728,FTX,2020-11-17 22:04:31
3,17556.0,0.4447,22.3342,7807.1532,392055.626,FTX,2020-11-17 22:04:31
4,17557.5,0.5457,22.8799,9581.12775,401636.75375,FTX,2020-11-17 22:04:31
5,17559.0,0.8895,23.7694,15618.7305,417255.48425,FTX,2020-11-17 22:04:31
6,17559.5,0.1,23.8694,1755.95,419011.43425,FTX,2020-11-17 22:04:31
7,17560.5,0.5039,24.3733,8848.73595,427860.1702,FTX,2020-11-17 22:04:31
8,17561.0,0.3262,24.6995,5728.3982,433588.5684,FTX,2020-11-17 22:04:31
9,17561.5,0.1,24.7995,1756.15,435344.7184,FTX,2020-11-17 22:04:31
10,17562.0,0.01,24.8095,175.62,435520.3384,FTX,2020-11-17 22:04:31
11,17563.0,0.1998,25.0093,3509.0874,439029.4258,FTX,2020-11-17 22:04:31
12,17566.0,0.7791,25.7884,13685.6706,452715.0964,FTX,2020-11-17 22:04:31
13,17567.0,0.8539,26.6423,15000.4613,467715.5577,FTX,2020-11-17 22:04:31
14,17568.0,12.5431,12.5431,220357.1808,220357.1808,FTXUS,2020-11-17 22:04:31
15,17570.5,0.9537,13.4968,16756.98585,237114.16665,FTXUS,2020-11-17 22:04:31
16,17572.0,10.0407,36.683,176435.1804,644150.7381,FTX,2020-11-17 22:04:31
17,17572.5,0.125,36.808,2196.5625,646347.3006,FTX,2020-11-17 22:04:31
18,17574.0,0.773,37.581,13584.702,659932.0026,FTX,2020-11-17 22:04:31
19,17577.0,61.0037,74.5005,1072262.0349,1309376.20155,FTXUS,2020-11-17 22:04:31
